Auto0000,4693144.591,7511180.147,621.639,Drawing& 31764
Auto0001,4693166.332,7511217.464,621.151,Drawing& 31794
Auto0002,4693128.796,7511239.356,620.786,Drawing& 31814
003,4693127.965,7511240.402,620.951,muri
004,4693107.038,7511202.014,621.571,Drawing& 31760
005,4693104.079,7511202.436,621.527,muri
006,4693101.488,7511139.618,623.972,asfallt
007,4693090.254,7511147.242,623.794,asfallt
008,4693085.089,7511151.717,623.726,asfallt
009,4693080.299,7511158.191,623.644,asfallt
010,4693094.746,7511149.043,623.824,shtylElektrike
011,4693095.744,7511148.375,623.644,
012,4693100.827,7511145.198,623.527,
013,4693104.877,7511147.218,623.176,
014,4693112.839,7511152.841,622.726,
015,4693112.029,7511157.746,622.571,
016,4693122.950,7511166.153,622.287,
017,4693129.632,7511169.284,622.176,
p1,4693122.434,7511233.174,621.161,
p2,4693160.031,7511228.247,620.909,
p3,4693098.642,7511141.509,623.979,
fss1,4693126.000,7511181.553,623.467,
1023,4693098.560,7511141.395,623.866,asfallt
1024,4693143.646,7511168.942,622.426,muri
1025,4693121.968,7511180.894,621.931,ref1
1026,4693150.889,7511214.895,616.983,zall
1027,4693116.605,7511200.802,617.166,zall
1011,4693140.331,7511232.621,0.100,
1012,4693157.610,7511222.549,0.100,
018,4693166.193,7511217.391,617.604,e0
019,4693165.249,7511217.337,617.122,e0
020,4693163.863,7511216.399,616.868,e0
021,4693154.159,7511224.181,616.910,e0
022,4693150.175,7511228.247,616.739,e0
023,4693149.213,7511230.669,617.295,e0
024,4693149.700,7511232.500,617.398,e0
025,4693143.304,7511236.115,617.564,e0
026,4693140.240,7511237.402,617.578,e0
027,4693136.062,7511236.071,617.056,e0
028,4693133.681,7511236.799,617.871,e0
029,4693131.258,7511233.829,617.336,e0
030,4693121.079,7511218.422,617.526,e0
031,4693117.064,7511210.633,617.172,e0
032,4693114.829,7511206.443,617.254,e0
033,4693111.096,7511199.153,617.135,e0
034,4693112.651,7511197.386,616.958,e0
035,4693126.968,7511189.267,617.087,e0
036,4693131.986,7511186.219,617.096,e0
037,4693136.091,7511183.469,617.136,e0
038,4693138.395,7511185.743,617.235,e0
039,4693138.272,7511185.834,617.237,rampa
040,4693142.635,7511183.719,617.282,rampa
041,4693141.630,7511180.525,617.852,rampa
042,4693143.854,7511179.177,617.962,e0
043,4693144.827,7511180.998,617.371,e0
044,4693133.185,7511173.949,619.979,rampa
045,4693129.308,7511175.893,620.282,rampa
046,4693118.328,7511168.465,622.158,rampa
047,4693119.796,7511166.211,622.018,rampa
048,4693120.945,7511165.459,622.186,e2
049,4693123.632,7511161.688,622.293,e2
050,4693124.446,7511167.534,622.211,e2
051,4693132.465,7511171.825,621.802,e2
052,4693136.160,7511173.129,621.765,e2
053,4693142.832,7511168.293,621.918,e2
054,4693144.207,7511176.722,621.491,e2
055,4693145.011,7511177.436,621.529,e2
056,4693146.545,7511178.429,621.505,e2
057,4693148.532,7511180.061,621.661,e2
058,4693149.745,7511181.533,621.674,e2
059,4693150.476,7511183.437,621.438,e2
060,4693118.334,7511170.517,622.069,e2
061,4693116.442,7511173.564,622.104,e2
062,4693122.022,7511175.535,621.825,e2
063,4693125.574,7511174.216,621.817,e2
064,4693130.561,7511177.488,621.469,e2
065,4693131.515,7511178.601,621.356,e2
066,4693131.023,7511179.284,621.536,e2
